Theta,Radius,Area
0,7.47404e-15,0
0.0317333,0.27435,0.220134
0.0634665,0.547857,0.876306
0.0951998,0.819845,1.95643
0.126933,1.0899,3.44207
0.158666,1.35778,5.31001
0.1904,1.62318,7.53309
0.222133,1.88549,10.0797
0.253866,2.14359,12.9122
0.285599,2.39583,15.9863
0.317333,2.64024,19.2509
0.349066,2.87481,22.6519
0.380799,3.0978,26.1367
0.412532,3.30801,29.6601
0.444266,3.50483,33.1882
0.475999,3.68826,36.7003
0.507732,3.85878,40.1873
0.539465,4.01716,43.6469
0.571199,4.16428,47.0776
0.602932,4.30095,50.4718
0.634665,4.42778,53.809
0.666398,4.54512,57.053
0.698132,4.65302,60.1532
0.729865,4.75135,63.0508
0.761598,4.83986,65.6903
0.793331,4.91839,68.0294
0.825065,4.98694,70.0469
0.856798,5.0458,71.7438
0.888531,5.09559,73.1398
0.920265,5.13719,74.2656
0.951998,5.17163,75.1572
0.983731,5.19995,75.8505
1.01546,5.22302,76.3799
1.0472,5.24131,76.7757
1.07893,5.25482,77.0613
1.11066,5.26294,77.2465
1.1424,5.26451,77.3204
1.17413,5.25786,77.2476
1.20586,5.24099,76.9705
1.2376,5.21176,76.4202
1.26933,5.16814,75.528
1.30106,5.10849,74.234
1.3328,5.03177,72.4927
1.36453,4.93782,70.2821
1.39626,4.82746,67.6165
1.428,4.70262,64.5565
1.45973,4.56619,61.2083
1.49146,4.42189,57.7105
1.5232,4.27393,54.2151
1.55493,4.12681,50.8658
1.58666,3.98491,47.7764
1.6184,3.85238,45.0144
1.65013,3.73287,42.6045
1.68186,3.62943,40.5506
1.7136,3.54428,38.8546
1.74533,3.47866,37.524
1.77706,3.43267,36.5694
1.8088,3.40521,35.9914
1.84053,3.39422,35.7655
1.87226,3.39699,35.8376
1.904,3.41063,36.1361
1.93573,3.43249,36.5891
1.96746,3.46035,37.1361
1.9992,3.49247,37.7289
2.03093,3.52743,38.3274
2.06266,3.56392,38.8939
2.0944,3.60052,39.391
2.12613,3.63562,39.7836
2.15786,3.66747,40.0434
2.18959,3.69432,40.1545
2.22133,3.71465,40.1151
2.25306,3.72729,39.9354
2.28479,3.73161,39.6305
2.31653,3.72746,39.2128
2.34826,3.71515,38.6873
2.37999,3.69537,38.0542
2.41173,3.66897,37.3161
2.44346,3.63688,36.4844
2.47519,3.59987,35.5793
2.50693,3.55834,34.6238
2.53866,3.51216,33.6324
2.57039,3.4605,32.6015
2.60213,3.40178,31.5056
2.63386,3.33375,30.2993
2.66559,3.25368,28.9269
2.69733,3.15862,27.3356
2.72906,3.04576,25.4892
2.76079,2.91273,23.3782
2.79253,2.75794,21.0243
2.82426,2.58081,18.4775
2.85599,2.38184,15.8099
2.88773,2.16258,13.1071
2.91946,1.92544,10.4603
2.95119,1.67336,7.95987
2.98293,1.40942,5.69051
3.01466,1.13655,3.7275
3.04639,0.85726,2.13419
3.07813,0.573657,0.960421
3.10986,0.287431,0.241888
3.14159,4.34254e-14,2.83109e-13
